,PLQY,Peak
0,0.0257,2.876658932714617
1,0.0385,2.7011764705882353
2,0.0254,2.4027906976744187
3,0.0676,2.4121400778210114
4,0.2232,2.7189473684210523
5,0.3467,2.4310588235294115
6,0.1049,2.6953043478260867
7,0.2254,2.689457700650759
8,0.5376,2.7129978118161926
9,0.8772,2.4747305389221554
10,0.1126,2.6836363636363636
11,0.2832,2.6953043478260867
12,0.2951,2.7189473684210523
13,0.4492,2.5829999999999997
14,0.0156,2.4027906976744187
15,0.5845,2.4263013698630136
16,0.376,2.4215625
17,0.7182,2.4310588235294115
18,0.4055,2.6212262156448203
19,0.1045,2.7011764705882353
20,0.2203,2.6212262156448203
21,0.1072,2.6953043478260867
22,0.2439,2.6212262156448203
23,0.4177,2.5406557377049177
24,0.2928,2.604705882352941
25,0.4485,2.551111111111111
26,0.273,2.61018947368421
27,0.3935,2.52
28,0.4061,2.649230769230769
29,0.3037,2.677840172786177
30,0.4468,2.4747305389221554
31,0.6156,2.4747305389221554
32,0.254,2.455128712871287
33,0.6558,2.435834970530452
34,0.3196,2.4896385542168673
35,0.1761,2.626779661016949
36,0.162,2.672068965517241
37,0.5541,2.525132382892057
38,0.5796,2.450276679841897
39,0.1684,2.6212262156448203
40,0.6075,2.4454437869822483
41,0.1546,2.6212262156448203
42,0.4226,2.435834970530452
43,0.3713,2.5047272727272727
44,0.5442,2.4796799999999997
45,0.2795,2.6953043478260867
46,0.1692,2.7011764705882353
47,0.5699,2.4263013698630136
48,0.5442,2.4310588235294115
49,0.4631,2.4168421052631577
50,0.0561,2.7011764705882353
51,0.0512,2.4168421052631577
52,0.2924,2.4263013698630136
53,0.224,2.4168421052631577
54,0.1551,2.6379574468085103
55,0.105,2.70707423580786
56,0.137,2.6953043478260867
57,0.186,2.6156962025316455
58,0.431,2.4263013698630136
59,0.0798,2.6953043478260867
60,0.2131,2.604705882352941
61,0.2072,2.61018947368421
62,0.2732,2.7011764705882353
63,0.4685,2.4310588235294115
64,0.1338,2.4310588235294115
65,0.1417,2.4263013698630136
66,0.3161,2.876658932714617
67,0.164,2.70707423580786
68,0.1673,2.4263013698630136
69,0.7726,2.545872689938398
70,0.545,2.450276679841897
71,0.7,2.689457700650759
72,0.2,2.6212262156448203
73,0.09,2.643582089552239
74,0.19,2.626779661016949
75,0.4254,2.6379574468085103
76,0.1953,2.643582089552239
77,0.2107,2.6953043478260867
78,0.569,2.5563711340206186
79,0.2838,2.6953043478260867
80,0.343,2.5776299376299376
81,0.4331,2.5563711340206186
82,0.406,2.5722821576763484
83,0.5164,2.5302857142857142
84,0.6289,2.4168421052631577
85,0.1525,2.643582089552239
86,0.1316,2.6953043478260867
87,0.1882,2.643582089552239
88,0.1605,2.632356687898089
89,0.179,2.626779661016949
90,0.4217,2.604705882352941
91,0.2399,2.593807531380753
92,0.4129,2.632356687898089
93,0.3904,2.61018947368421
94,0.6475,2.455128712871287
95,0.1554,2.654903640256959
96,0.3082,2.6379574468085103
97,0.5968,2.455128712871287
98,0.1211,2.7011764705882353
99,0.1661,2.6606008583690985
100,0.1832,2.649230769230769
101,0.1918,2.643582089552239
102,0.2541,2.632356687898089
103,0.2703,2.626779661016949
104,0.1177,2.856774193548387
105,0.127,2.863371824480369
106,0.1301,2.876658932714617
107,0.1445,2.7011764705882353
108,0.1349,2.8699999999999997
109,0.1455,2.8699999999999997
110,0.1377,2.843669724770642
111,0.1551,2.843669724770642
112,0.3074,2.689457700650759
113,0.3154,2.6790972920314067
114,0.4748,2.598329653437924
115,0.7926,2.5060059103509875
116,0.8475,2.4538925608493645
117,0.8484,2.421660075400761
118,0.5293,2.394349724901356
119,0.2389,2.626779661016949
120,0.1518,2.7011764705882353
121,0.2341,2.632356687898089
122,0.1457,2.7011764705882353
123,0.3024,2.5722821576763484
124,0.2571,2.604705882352941
125,0.2503,2.632356687898089
126,0.368,2.7011764705882353
127,0.4088,2.7011764705882353
128,0.32,2.632356687898089
129,0.207,2.4263013698630136
130,0.0967,2.7129978118161926
131,0.356,2.5829999999999997
132,0.257,2.435834970530452
133,0.3437,2.4310588235294115
134,0.1423,2.7011764705882353
135,0.3272,2.7369536423841057
136,0.3272,2.7189473684210523
137,0.4061,2.6836363636363636
138,0.3744,2.6836363636363636
139,0.2984,2.514888438133874
140,0.263,2.525132382892057
141,0.4292,2.52
142,0.4292,2.52
143,0.4099,2.4747305389221554
144,0.2626,2.4747305389221554
145,0.4701,2.4946478873239437
146,0.3623,2.52
147,0.4038,2.6156962025316455
